source,activity,timestamp,status,resource
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei20,check-in,2020-09-22T02:00:00,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei33,check-in,2020-12-24T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei33,hidden,2020-12-31T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei34,check-in,2020-12-30T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei34,hidden,2021-01-07T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei35,check-in,2021-01-06T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei35,hidden,2021-01-14T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei36,check-in,2021-01-13T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei37,check-in,2021-01-20T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei7,check-in,2020-06-09T02:00:00,complete,BfS
